City,Zip Code,County
Hammonton,08037,Atlantic
Absecon,08201,Atlantic
Brigantine,08203,Atlantic
Absecon,08205,Atlantic
Cologne,08213,Atlantic
Egg Harbor City,08215,Atlantic
Elwood,08217,Atlantic
Leeds Point,08220,Atlantic
Linwood,08221,Atlantic
Northfield,08225,Atlantic
Oceanville,08231,Atlantic
Pleasantville,08232,Atlantic
Egg Harbor Township,08234,Atlantic
Pomona,08240,Atlantic
Port Republic,08241,Atlantic
Somers Point,08244,Atlantic
Buena,08310,Atlantic
Dorothy,08317,Atlantic
Estell Manor,08319,Atlantic
Landisville,08326,Atlantic
Mays Landing,08330,Atlantic
Milmay,08340,Atlantic
Minotola,08341,Atlantic
Mizpah,08342,Atlantic
Newtonville,08346,Atlantic
Richland,08350,Atlantic
Atlantic City,08401,Atlantic
Margate City,08402,Atlantic
Longport,08403,Atlantic
Atlantic City,08404,Atlantic
Atlantic City,08405,Atlantic
Ventnor City,08406,Atlantic
Cliffside Park,07010,Bergen
Edgewater,07020,Bergen
Fairview,07022,Bergen
Fort Lee,07024,Bergen
Garfield,07026,Bergen
North Arlington,07031,Bergen
Wallington,07057,Bergen
Rutherford,07070,Bergen
Lyndhurst,07071,Bergen
Carlstadt,07072,Bergen
East Rutherford,07073,Bergen
Moonachie,07074,Bergen
Wood Ridge,07075,Bergen
Allendale,07401,Bergen
Elmwood Park,07407,Bergen
Fair Lawn,07410,Bergen
Franklin Lakes,07417,Bergen
Ho Ho Kus,07423,Bergen
Mahwah,07430,Bergen
Midland Park,07432,Bergen
Oakland,07436,Bergen
Ramsey,07446,Bergen
Ridgewood,07450,Bergen
Ridgewood,07451,Bergen
Glen Rock,07452,Bergen
Saddle River,07458,Bergen
Waldwick,07463,Bergen
Wyckoff,07481,Bergen
Mahwah,07495,Bergen
Hackensack,07601,Bergen
Hackensack,07602,Bergen
Bogota,07603,Bergen
Hasbrouck Heights,07604,Bergen
Leonia,07605,Bergen
South Hackensack,07606,Bergen
Maywood,07607,Bergen
Teterboro,07608,Bergen
Alpine,07620,Bergen
Bergenfield,07621,Bergen
Closter,07624,Bergen
Cresskill,07626,Bergen
Demarest,07627,Bergen
Dumont,07628,Bergen
Emerson,07630,Bergen
