City,Zip Code,County,Median Income,Cost Of Living Index ($),Median Mortgage To Income Ratio (%),Owner Occupied Homes (%),Median Rooms In Home,College Degree (%),Professional (%),Population,Average Household Size,Median Age,Male To Female Ratio (%),Married (%),Divorced (%),White (%),Black (%),Asian (%),Hispanic Ethnicity (%)
Hammonton,8037,Atlantic,"47,500",133.1,24.1,77.1,5.9,14.3,25.6,"22,730",2.9,38.8,100.6,60.6,7.9,81.2,3.5,0.4,13.3
Absecon,8201,Atlantic,"51,397",137.7,24.9,72.9,5.6,23.1,27.8,"34,886",2.9,34.2,86.7,55.8,10.1,71.4,10.3,9.0,6.5
Brigantine,8203,Atlantic,"44,639",158.2,26.3,63.6,5.2,23.8,28.7,"12,594",2.3,40.7,90.4,54.9,11.4,78.4,2.8,6.1,9.3
Absecon,8205,Atlantic,,,,,,,,,,,,,,,,,
Cologne,8213,Atlantic,,,,,,,,,,,,,,,,,
Egg Harbor City,8215,Atlantic,"44,420",111.0,23.0,74.4,5.6,14.8,23.1,"12,196",2.7,37.7,85.6,58.6,8.6,77.3,7.9,1.4,11.8
Elwood,8217,Atlantic,,,,,,,,,,,,,,,,,
Leeds Point,8220,Atlantic,,,,,,,,,,,,,,,,,
Linwood,8221,Atlantic,"60,000",177.4,24.6,89.6,6.8,37.9,44.8,"7,195",2.6,42.8,80.9,65.3,5.8,94.4,0.9,2.5,0.6
Northfield,8225,Atlantic,"56,858",140.8,25.5,91.9,6.4,22.5,30.5,"7,744",2.7,40.5,85.0,59.9,8.2,90.0,2.4,2.8,4.1
Oceanville,8231,Atlantic,,,,,,,,,,,,,,,,,
Pleasantville,8232,Atlantic,"37,370",95.0,25.6,62.1,5.1,9.7,17.9,"18,017",2.9,33.4,77.3,42.9,11.6,18.4,54.7,1.7,22.1
Egg Harbor Township,8234,Atlantic,"52,618",131.4,24.2,85.0,5.6,19.0,26.7,"30,050",2.7,35.8,88.5,59.3,9.9,76.3,9.8,5.2,6.7
Pomona,8240,Atlantic,,,,,,,,,,,,,,,,,
Port Republic,8241,Atlantic,,,,,,,,,,,,,,,,,
Somers Point,8244,Atlantic,"42,341",133.3,24.6,57.6,5.1,19.8,27.3,"11,647",2.3,38.5,83.3,48.9,11.1,82.6,6.7,2.8,6.0
Buena,8310,Atlantic,"30,833",82.6,29.6,88.9,5.1,11.4,23.0,"1,689",2.1,49.6,114.1,59.2,8.8,82.4,5.9,0.0,11.1
Dorothy,8317,Atlantic,,,,,,,,,,,,,,,,,
Estell Manor,8319,Atlantic,,,,,,,,,,,,,,,,,
Landisville,8326,Atlantic,,,,,,,,,,,,,,,,,
Mays Landing,8330,Atlantic,"49,960",110.3,24.4,74.5,5.5,18.6,29.4,"21,753",2.8,34.9,93.1,56.7,10.9,68.7,18.5,3.0,7.3
Milmay,8340,Atlantic,,,,,,,,,,,,,,,,,
Minotola,8341,Atlantic,"32,204",113.5,22.7,56.6,5.3,9.8,21.6,"2,016",2.4,36.9,78.3,47.9,11.3,68.8,8.7,1.1,17.4
Mizpah,8342,Atlantic,,,,,,,,,,,,,,,,,
Newtonville,8346,Atlantic,,,,,,,,,,,,,,,,,
Richland,8350,Atlantic,,,,,,,,,,,,,,,,,
Atlantic City,8401,Atlantic,"26,969",97.9,23.9,28.9,3.7,10.3,13.7,"40,517",2.5,34.7,90.7,40.4,11.1,18.7,42.8,10.0,24.9
Margate City,8402,Atlantic,"45,876",201.6,25.2,74.2,5.7,36.5,37.6,"8,193",2.0,49.8,88.2,59.4,7.3,93.9,0.1,1.5,2.4
Longport,8403,Atlantic,"51,176",300.5,23.9,84.0,6.1,39.3,52.4,"1,180",2.0,56.0,84.3,61.8,10.9,99.0,0.0,0.1,0.1
Atlantic City,8404,Atlantic,,,,,,,,,,,,,,,,,
Atlantic City,8405,Atlantic,,,,,,,,,,,,,,,,,
Ventnor City,8406,Atlantic,"42,478",144.7,28.4,60.8,5.5,21.3,27.0,"12,910",2.3,40.6,85.4,51.2,11.1,70.7,1.5,8.0,17.2
Cliffside Park,7010,Bergen,"46,288",255.6,26.8,46.9,4.2,32.6,35.1,"23,007",2.2,39.8,87.4,52.6,8.8,66.4,1.4,11.4,17.9
Edgewater,7020,Bergen,"63,455",218.3,27.8,44.6,4.1,51.3,53.9,"7,677",2.0,36.3,90.5,52.3,8.8,60.5,3.0,22.9,10.5
Fairview,7022,Bergen,"40,393",209.6,31.1,34.6,4.2,16.5,23.8,"13,255",2.7,34.5,95.2,53.1,6.8,51.6,1.1,5.1,37.3
Fort Lee,7024,Bergen,"58,161",209.8,28.8,56.2,3.8,48.2,51.5,"35,461",2.1,41.6,82.9,59.0,8.6,57.5,1.6,30.9,7.7
Garfield,7026,Bergen,"42,770",196.7,27.2,40.2,4.5,14.0,20.5,"29,851",2.6,35.6,91.5,52.6,7.8,72.0,2.6,2.2,20.2
North Arlington,7031,Bergen,"51,787",212.2,24.4,54.3,5.0,19.5,30.0,"15,181",2.3,40.9,82.2,53.2,7.0,81.7,0.4,5.4,10.5
Wallington,7057,Bergen,"45,656",224.8,26.5,41.3,4.4,17.0,26.2,"11,583",2.4,38.2,85.5,55.2,7.5,83.5,2.8,4.7,6.7
Rutherford,7070,Bergen,"63,820",240.1,24.8,65.5,5.8,40.3,44.7,"18,110",2.5,38.8,89.3,55.3,6.8,75.2,2.6,11.4,8.1
Lyndhurst,7071,Bergen,"53,375",212.2,24.4,59.9,5.3,21.8,30.3,"19,383",2.4,39.5,85.4,54.5,7.5,83.3,0.1,5.9,8.9
Carlstadt,7072,Bergen,"55,058",239.2,22.3,57.2,5.4,21.0,36.4,"5,917",2.4,38.9,90.1,54.0,10.0,84.1,1.2,6.2,8.1
East Rutherford,7073,Bergen,"50,163",217.1,24.8,43.2,4.4,25.4,34.2,"8,716",2.3,37.9,90.6,51.6,8.5,74.5,3.1,10.1,10.3
Moonachie,7074,Bergen,"50,571",177.2,26.3,77.8,5.2,13.2,22.4,"2,754",2.6,40.4,93.1,58.4,6.8,77.0,0.6,7.7,12.4
Wood Ridge,7075,Bergen,"60,949",214.6,25.6,77.0,6.1,27.7,39.5,"7,643",2.5,40.3,86.8,62.7,6.1,85.5,0.2,5.4,7.5
Allendale,7401,Bergen,"105,387",456.5,24.3,90.4,7.6,62.3,53.1,"6,676",3.1,39.5,85.1,68.1,4.4,90.1,0.6,6.5,1.9
Elmwood Park,7407,Bergen,"52,319",211.0,26.3,60.6,5.3,20.5,28.3,"18,925",2.6,38.5,86.0,57.4,7.7,72.8,1.1,8.5,13.6
Fair Lawn,7410,Bergen,"72,127",238.8,23.3,80.0,6.2,44.8,48.0,"31,637",2.6,41.8,84.5,63.0,5.9,87.6,0.4,5.7,5.4
Franklin Lakes,7417,Bergen,"132,373",672.9,23.9,95.1,9.1,52.9,54.3,"10,422",3.1,40.7,94.7,70.8,4.3,89.3,0.4,6.8,2.5
Ho Ho Kus,7423,Bergen,"129,900",509.2,20.8,91.4,7.6,68.3,61.5,"4,060",2.8,41.1,88.5,72.1,4.4,90.5,0.8,5.2,1.8
Mahwah,7430,Bergen,"79,500",300.0,23.1,84.0,5.9,49.4,49.6,"24,062",2.5,37.3,87.0,59.9,8.3,85.0,2.2,6.3,4.5
Midland Park,7432,Bergen,"76,462",280.2,24.4,75.8,6.3,38.9,43.4,"6,947",2.6,38.8,90.6,63.1,6.1,92.9,0.7,2.3,3.3
Oakland,7436,Bergen,"86,629",270.8,23.9,93.2,6.9,41.3,47.3,"12,466",2.9,38.9,93.2,69.6,6.2,91.4,1.1,2.8,3.6
Ramsey,7446,Bergen,"88,318",340.6,23.7,84.2,6.8,54.5,53.6,"14,374",2.7,38.6,87.7,66.1,7.2,89.9,0.4,5.7,2.5
Ridgewood,7450,Bergen,"104,286",421.6,22.8,79.9,7.2,66.7,61.5,"24,936",2.9,38.6,88.1,68.6,4.1,84.7,1.8,8.4,3.9
Ridgewood,7451,Bergen,,,,,,,,,,,,,,,,,
Glen Rock,7452,Bergen,"104,192",350.5,23.9,92.4,7.1,61.0,62.7,"11,546",2.9,39.5,90.1,72.5,4.6,88.2,1.3,6.2,2.9
Saddle River,7458,Bergen,"129,163",741.8,24.1,95.0,9.1,60.1,62.0,"10,942",3.0,41.8,90.9,73.2,3.8,89.0,0.7,5.9,2.3
Waldwick,7463,Bergen,"75,532",253.3,25.0,89.3,6.6,36.6,43.1,"9,622",2.8,38.1,88.3,65.0,6.1,88.2,0.7,4.9,5.3
Wyckoff,7481,Bergen,"103,614",456.5,22.7,92.8,7.6,56.6,56.2,"16,508",2.9,40.9,85.9,70.5,3.5,92.5,0.4,3.8,2.5
Mahwah,7495,Bergen,,,,,,,,,,,,,,,,,
Hackensack,7601,Bergen,"49,316",182.2,27.8,32.4,3.6,29.1,35.6,"42,677",2.3,36.2,94.3,46.5,11.2,39.9,23.2,7.4,26.0
Hackensack,7602,Bergen,,,,,,,,,,,,,,,,,
Bogota,7603,Bergen,"59,813",186.8,25.5,66.8,5.8,28.3,34.3,"8,249",2.8,36.5,83.0,54.6,7.0,63.3,7.2,7.4,20.0
Hasbrouck Heights,7604,Bergen,"64,529",238.3,23.6,69.4,6.0,29.9,43.1,"11,662",2.5,40.1,88.9,60.2,6.2,83.0,1.2,5.3,8.4
Leonia,7605,Bergen,"72,440",307.0,24.0,65.6,6.0,49.8,51.0,"8,914",2.7,39.9,85.7,61.2,7.8,57.9,1.7,26.1,12.6
South Hackensack,7606,Bergen,"59,167",258.3,26.1,55.3,5.1,13.3,26.7,"2,187",2.7,37.7,95.1,61.9,6.7,72.7,3.4,4.2,18.0
Maywood,7607,Bergen,"62,113",220.4,24.0,68.4,5.8,31.1,37.6,"9,523",2.5,40.2,81.5,59.1,8.9,77.0,2.7,6.6,11.5
Teterboro,7608,Bergen,,,,,,,,,,,,,,,,,
Alpine,7620,Bergen,,,,,,,,,,,,,,,,,
Bergenfield,7621,Bergen,"62,166",203.8,26.0,71.1,5.8,32.3,38.0,"26,264",2.9,37.6,86.0,59.5,6.2,54.0,6.2,20.2,16.8
Closter,7624,Bergen,"85,485",395.1,25.8,87.2,7.0,50.9,51.6,"8,975",3.0,39.8,88.5,69.4,5.2,73.9,0.3,20.2,3.6
Cresskill,7626,Bergen,"84,692",309.8,24.2,89.1,6.8,50.0,53.6,"7,746",2.9,40.9,86.2,66.8,4.4,74.8,0.0,19.5,3.9
Demarest,7627,Bergen,"103,286",398.8,23.9,91.8,7.5,58.9,61.6,"4,845",3.0,41.1,86.6,73.4,3.3,74.5,0.5,20.2,3.0
Dumont,7628,Bergen,"65,497",217.5,25.1,74.3,6.1,27.3,37.6,"17,486",2.7,38.4,87.3,60.6,6.0,78.3,1.0,11.0,8.4
Emerson,7630,Bergen,"74,556",287.3,26.2,92.3,7.0,40.2,47.7,"7,197",3.0,41.1,84.4,66.5,4.2,85.7,0.3,8.2,4.5
Englewood,7631,Bergen,"58,379",218.7,24.4,59.2,5.3,36.7,38.6,"26,203",2.8,37.4,82.8,53.3,9.4,31.6,37.3,5.2,21.6
Englewood Cliffs,7632,Bergen,"106,478",557.1,24.2,91.5,7.8,52.4,57.0,"5,322",2.9,44.8,83.6,70.3,3.3,63.4,0.9,29.0,4.9
Harrington Park,7640,Bergen,"100,302",379.6,23.7,94.1,7.7,58.4,54.5,"4,740",3.0,40.2,90.9,69.8,2.8,80.8,1.3,14.3,3.2
Haworth,7641,Bergen,"101,836",414.2,24.3,94.9,7.6,57.0,59.1,"3,390",2.9,41.1,91.2,68.9,2.9,85.9,0.5,8.8,3.5
Hillsdale,7642,Bergen,"82,904",320.7,23.9,88.9,7.2,45.8,45.9,"10,087",2.8,39.5,87.5,67.4,5.4,89.1,1.1,5.1,4.2
Little Ferry,7643,Bergen,"49,958",211.3,30.2,46.2,4.4,24.1,34.4,"10,800",2.4,37.1,87.1,55.0,8.1,60.9,4.0,17.0,15.2
Lodi,7644,Bergen,"43,421",204.7,27.9,42.1,4.3,18.6,27.4,"23,971",2.5,36.4,85.7,51.9,8.5,66.9,3.8,8.3,17.9
Montvale,7645,Bergen,"93,031",373.9,24.1,85.0,7.2,55.3,55.3,"7,034",2.7,39.7,93.8,70.6,4.5,90.9,0.2,5.7,2.5
New Milford,7646,Bergen,"59,118",245.6,24.5,63.2,5.7,32.4,41.6,"16,400",2.5,39.9,85.8,59.3,6.9,72.7,2.3,14.0,8.4
Northvale,7647,Bergen,"74,423",277.5,24.4,81.6,6.8,29.5,41.9,"4,851",2.9,40.6,89.6,63.8,5.2,79.5,1.4,12.6,4.9
Norwood,7648,Bergen,"92,754",376.3,26.1,85.3,7.1,42.8,50.6,"5,766",3.1,40.9,83.5,69.0,3.3,76.3,0.8,18.3,2.6
Oradell,7649,Bergen,"91,014",366.7,23.3,89.8,7.2,51.8,56.6,"8,047",2.8,41.5,87.0,70.1,4.9,87.7,0.4,7.6,3.6
Palisades Park,7650,Bergen,"48,015",272.6,27.4,37.1,4.3,30.6,33.0,"17,073",2.7,35.6,93.3,57.4,5.8,38.3,0.7,41.0,16.3
Paramus,7652,Bergen,"76,918",316.0,24.7,90.6,7.0,38.6,44.1,"25,737",3.1,42.9,86.5,63.4,4.8,75.5,1.0,17.1,4.6
Paramus,7653,Bergen,,,,,,,,,,,,,,,,,
Park Ridge,7656,Bergen,"86,632",330.6,22.6,81.9,6.9,44.9,47.1,"8,708",2.7,40.9,88.9,66.5,5.6,87.8,1.2,3.6,5.1
Ridgefield,7657,Bergen,"54,081",267.6,27.1,57.3,5.4,25.9,35.9,"10,830",2.6,39.5,87.5,59.8,5.6,66.1,1.5,16.3,13.7
Ridgefield Park,7660,Bergen,"51,825",194.1,24.9,53.2,4.9,26.1,32.1,"12,873",2.5,37.2,86.1,54.2,9.0,65.1,2.6,8.4,21.9
River Edge,7661,Bergen,"71,792",277.7,24.6,74.3,6.3,45.3,50.9,"10,946",2.6,40.0,84.9,65.3,5.6,80.0,0.9,12.2,5.5
Rochelle Park,7662,Bergen,"60,818",212.5,24.9,75.3,6.0,23.6,37.5,"5,528",2.6,43.2,74.8,54.7,5.6,83.3,0.1,6.2,8.5
Saddle Brook,7663,Bergen,"63,545",222.5,23.9,74.4,5.8,25.2,35.4,"13,155",2.5,40.3,87.6,59.0,6.9,86.2,1.2,5.5,6.2
Teaneck,7666,Bergen,"74,903",230.9,24.5,77.5,6.4,47.8,53.1,"39,260",2.9,38.4,83.0,59.4,6.7,50.9,26.9,7.2,10.9
Tenafly,7670,Bergen,"90,931",434.4,25.5,80.6,7.0,62.1,58.3,"13,806",2.8,40.9,85.4,64.9,5.9,73.7,1.1,18.7,5.0
Westwood,7675,Bergen,"82,723",349.0,25.5,83.9,7.0,45.9,50.2,"40,613",2.7,40.3,87.2,67.8,5.7,86.5,2.0,6.6,3.7
Township Of Washington,7676,Bergen,,,,,,,,,,,,,,,,,
Woodcliff Lake,7677,Bergen,,,,,,,,,,,,,,,,,
Teterboro,7699,Bergen,,,,,,,,,,,,,,,,,
Beverly,8010,Burlington,"48,162",121.0,22.5,65.8,5.6,17.7,30.9,"10,548",2.5,37.3,88.9,54.8,9.6,64.3,22.5,2.0,6.2
Birmingham,8011,Burlington,,,,,,,,,,,,,,,,,
Browns Mills,8015,Burlington,"48,826",104.8,23.8,83.1,5.8,8.6,21.6,"21,169",2.8,35.3,90.8,56.1,9.3,66.2,18.0,3.4,7.5
Burlington,8016,Burlington,"54,114",148.1,23.5,73.4,6.3,21.4,33.2,"30,779",2.7,36.4,84.7,57.3,8.5,66.9,23.6,2.7,4.0
Chatsworth,8019,Burlington,,,,,,,,,,,,,,,,,
Columbus,8022,Burlington,"55,309",183.3,24.6,95.9,6.0,28.9,38.0,"5,685",2.5,46.7,84.5,71.2,3.0,91.6,2.5,3.3,2.4
Hainesport,8036,Burlington,,,,,,,,,,,,,,,,,
Jobstown,8041,Burlington,,,,,,,,,,,,,,,,,
Juliustown,8042,Burlington,,,,,,,,,,,,,,,,,
Willingboro,8046,Burlington,"60,869",106.8,23.4,92.4,6.7,18.8,32.5,"33,008",3.0,37.9,82.6,55.9,8.3,22.9,65.8,1.4,5.8
Lumberton,8048,Burlington,,,,,,,,,,,,,,,,,
Maple Shade,8052,Burlington,"45,426",115.3,24.2,49.8,4.7,21.4,32.9,"19,079",2.2,36.5,91.7,50.1,10.9,81.1,6.8,5.5,4.9
Marlton,8053,Burlington,"66,642",166.6,23.4,76.5,6.6,40.3,48.4,"40,124",2.6,35.9,89.6,63.0,8.0,89.8,3.1,3.7,1.8
Mount Laurel,8054,Burlington,"63,750",162.4,23.0,83.6,6.1,42.1,49.5,"40,221",2.4,38.9,84.7,61.9,7.9,85.4,6.8,4.2,2.1
Medford,8055,Burlington,"81,863",220.0,23.7,86.8,7.7,49.7,53.7,"26,983",2.7,40.0,87.5,69.9,5.9,95.9,0.9,1.0,1.0
Moorestown,8057,Burlington,"78,441",275.0,23.0,81.5,7.4,51.9,55.8,"19,224",2.7,40.9,83.6,65.5,7.3,88.1,4.4,2.6,1.9
Mount Holly,8060,Burlington,"58,022",137.6,23.4,73.4,6.2,25.2,36.0,"36,896",2.7,35.4,92.5,59.5,9.8,72.3,15.8,3.0,5.8
New Lisbon,8064,Burlington,,,,,,,,,,,,,,,,,
Palmyra,8065,Burlington,"51,150",121.7,23.2,69.9,5.6,21.8,32.5,"7,091",2.3,38.0,89.8,52.5,12.3,79.7,14.4,1.4,2.5
Pemberton,8068,Burlington,"46,136",121.6,21.8,56.9,5.3,12.2,20.8,"6,475",2.6,37.3,87.2,49.4,9.6,53.9,28.5,2.1,10.6
Rancocas,8073,Burlington,,,,,,,,,,,,,,,,,
Riverside,8075,Burlington,"52,873",144.7,23.4,71.9,6.1,21.2,31.4,"26,477",2.6,36.3,95.0,58.5,8.3,84.7,6.7,2.2,3.0
Riverton,8076,Burlington,,,,,,,,,,,,,,,,,
Riverton,8077,Burlington,"66,844",174.3,22.2,92.8,7.5,30.0,40.4,"17,354",2.8,41.9,88.2,65.2,5.3,91.7,4.5,1.6,0.8
Vincentown,8088,Burlington,"60,773",167.4,23.4,94.2,6.6,26.2,38.2,"24,364",2.6,41.9,91.0,67.0,5.5,96.1,0.8,0.7,1.5
New Gretna,8224,Burlington,,,,,,,,,,,,,,,,,
Bordentown,8505,Burlington,"58,844",150.7,23.0,74.7,5.9,26.3,36.3,"15,163",2.5,38.1,90.8,58.6,8.8,86.3,6.8,1.8,2.7
Cookstown,8511,Burlington,,,,,,,,,,,,,,,,,
Chesterfield,8515,Burlington,,,,,,,,,,,,,,,,,
Florence,8518,Burlington,"50,709",124.3,24.0,68.8,5.3,17.2,33.2,"4,848",2.4,36.9,85.3,54.5,9.7,79.2,12.9,3.7,2.7
